occ,n_aus,n_events,n_subjects,n_faces,duration,fullface_pct,session_pct,best_dice,best_status,best_match,band
9+18+25,3,1,1,1,0.373,3.9258967516519825e-5,1.2343096003085123e-6,0.8,complete,disgust,strong (>=0.7)
1+2+23+25,4,2,1,2,0.372,3.915371559288304e-5,1.2310004592889185e-6,0.75,complete,"fear, surprise",strong (>=0.7)
4+12+17+24,4,2,2,2,0.372,3.915371559288304e-5,1.2310004592889185e-6,0.75,complete,anger,strong (>=0.7)
1+2+5+10+12,5,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.75,complete,"fear, interest, surprise",strong (>=0.7)
10+16+25,3,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,1,complete,disgust,strong (>=0.7)
15+17+24,3,2,2,2,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.6666666666666666,complete,"sadness, sympathy",moderate (0.4-0.7)
1+15+24,3,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8,complete,sadness,strong (>=0.7)
1+2+12+17+25+26+32,7,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.7692307692307693,partial only,awe,strong (>=0.7)
1+2+13+25+26,5,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8888888888888888,complete,surprise,strong (>=0.7)
1+4+6+12+25,5,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.75,complete,happiness,strong (>=0.7)
2+4+17,3,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8,partial only,shame,strong (>=0.7)
20+26,2,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8,complete,fear,strong (>=0.7)
5+12+20,3,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8,complete,fear,strong (>=0.7)
5+23+25,3,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8571428571428571,complete,anger,strong (>=0.7)
1+5+22+25+26,5,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.8,complete,"fear, surprise",strong (>=0.7)
10+12+20+25+26,5,1,1,1,0.34,3.578565403650601e-5,1.1251079466619148e-6,0.75,complete,disgust,strong (>=0.7)
5+20+25,3,2,2,2,0.33999999999999997,3.5785654036506e-5,1.1251079466619148e-6,1,complete,fear,strong (>=0.7)
1+4+5+18+25,5,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.8,complete,fear,strong (>=0.7)
1+2+4+20+25,5,2,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,1,complete,fear,strong (>=0.7)
8+14+26,3,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.4,complete,"contempt, disgust, surprise, sympathy",moderate (0.4-0.7)
7+20,2,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.5714285714285714,partial only,pain,moderate (0.4-0.7)
1+2+7+12+25,5,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.75,complete,interest,strong (>=0.7)
1+2+4+25+26,5,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.9090909090909091,complete,fear,strong (>=0.7)
1+2+4+12+18+25+26,7,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.7692307692307693,complete,"awe, fear",strong (>=0.7)
1+4+6+25,4,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.75,complete,"fear, sadness",strong (>=0.7)
1+12+24,3,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.6666666666666666,complete,"interest, sympathy",moderate (0.4-0.7)
2+10+20+25,4,1,1,1,0.339,3.568040211286923e-5,1.121798805642321e-6,0.6666666666666666,complete,"disgust, fear",moderate (0.4-0.7)
1+8+25+26,4,2,2,2,0.338,3.557515018923245e-5,1.1184896646227271e-6,0.75,complete,surprise,strong (>=0.7)
11+15+25,3,2,1,1,0.30600000000000005,3.2207088632855414e-5,1.0125971519957234e-6,1,complete,sadness,strong (>=0.7)
4+7+20,3,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.8,complete,"anger, confusion",strong (>=0.7)
10+12+25+26,4,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
4+5+18,3,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.6666666666666666,complete,anger,moderate (0.4-0.7)
4+15+17+24,4,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.8571428571428571,complete,sadness,strong (>=0.7)
4+12+14+25+26,5,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.75,complete,contempt,strong (>=0.7)
1+2+5+12+20+25+26,7,1,1,1,0.306,3.220708863285541e-5,1.0125971519957234e-6,0.9230769230769231,partial only,awe,strong (>=0.7)
12+25+32,3,2,2,2,0.30500000000000005,3.210183670921863e-5,1.0092880109761296e-6,0.8,complete,happiness,strong (>=0.7)
18+19+25+26,4,2,2,2,0.30500000000000005,3.210183670921863e-5,1.0092880109761296e-6,0.8571428571428571,partial only,desire,strong (>=0.7)
1+2+5+22+25,5,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.8888888888888888,complete,fear,strong (>=0.7)
1+2+4+5+25+27,6,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,1,complete,fear,strong (>=0.7)
4+12+17+23,4,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.75,complete,anger,strong (>=0.7)
2+5+18,3,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
4+26,2,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.6666666666666666,complete,"anger, sadness",moderate (0.4-0.7)
5+12+16,3,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.5,complete,"contentment, happiness",moderate (0.4-0.7)
1+2+24+26,4,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.8571428571428571,complete,surprise,strong (>=0.7)
4+14+17+23,4,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.75,complete,anger,strong (>=0.7)
4+7+13+25,4,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.75,complete,anger,strong (>=0.7)
1+5+18+26,4,1,1,1,0.305,3.210183670921862e-5,1.0092880109761294e-6,0.75,complete,"fear, surprise",strong (>=0.7)
18+23,2,2,2,2,0.30400000000000005,3.1996584785581846e-5,1.0059788699565358e-6,0.4,complete,"anger, pain",moderate (0.4-0.7)
9+17+24,3,2,1,1,0.30400000000000005,3.1996584785581846e-5,1.0059788699565358e-6,0.8571428571428571,complete,disgust,strong (>=0.7)
6+14,2,2,2,2,0.30400000000000005,3.1996584785581846e-5,1.0059788699565358e-6,0.5,complete,"contempt, happiness, sadness",moderate (0.4-0.7)
1+4+6+17+20,5,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.8,complete,sadness,strong (>=0.7)
7+19+25+26,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.8888888888888888,complete,disgust,strong (>=0.7)
7+15+25,3,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,"embarrassment, sadness",moderate (0.4-0.7)
5+12+17+26,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,surprise,moderate (0.4-0.7)
1+17+23,3,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,"sadness, sympathy",moderate (0.4-0.7)
1+2+15+26,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.8571428571428571,complete,surprise,strong (>=0.7)
4+10+15+38,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
6+9+24,3,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.5714285714285714,complete,disgust,moderate (0.4-0.7)
1+2+18+26,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.8571428571428571,complete,surprise,strong (>=0.7)
12+17+24+34,4,2,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.5714285714285714,partial only,sympathy,moderate (0.4-0.7)
4+25+26+30,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,"anger, fear, sadness, sympathy",moderate (0.4-0.7)
4+6+23,3,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,"anger, sadness",moderate (0.4-0.7)
1+2+17+25,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.75,complete,"fear, surprise",strong (>=0.7)
1+12+18+25,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.75,partial only,relief,strong (>=0.7)
4+10+12+25,4,1,1,1,0.272,2.862852322920481e-5,9.00086357329532e-7,0.6666666666666666,complete,"anger, disgust, happiness",moderate (0.4-0.7)
6+12+19+25,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.8571428571428571,complete,happiness,strong (>=0.7)
1+2+5+7+19+25+26,7,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.9230769230769231,complete,fear,strong (>=0.7)
5+8+25+27,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.75,complete,fear,strong (>=0.7)
1+2+17+22,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.5714285714285714,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
4+7+17+24,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,1,complete,anger,strong (>=0.7)
4+14+27,3,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
4+17+20+25,4,2,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.75,complete,fear,strong (>=0.7)
4+6+15,3,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,1,complete,sadness,strong (>=0.7)
1+2+4+12+17,5,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.75,complete,interest,strong (>=0.7)
1+2+14+17+19,5,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.5,complete,"fear, interest, sadness, surprise, sympathy",moderate (0.4-0.7)
15+16+25+26,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.75,complete,"disgust, sadness",strong (>=0.7)
9+20+25,3,2,2,2,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.8,complete,disgust,strong (>=0.7)
4+17+36,3,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.8,partial only,shame,strong (>=0.7)
1+4+18+24,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.5714285714285714,complete,"anger, sadness, sympathy",moderate (0.4-0.7)
1+11+15+17,4,1,1,1,0.271,2.8523271305568026e-5,8.96777216309938e-7,0.8888888888888888,complete,sadness,strong (>=0.7)
34,1,2,2,2,0.27,2.8418019381931242e-5,8.934680752903442e-7,0,NA,NA,none (<0.2)
1+2+17+20+25,5,2,2,2,0.27,2.8418019381931242e-5,8.934680752903442e-7,0.8,complete,fear,strong (>=0.7)
7+16+25,3,2,1,1,0.265,2.7891759763747332e-5,8.769223701923748e-7,0.6666666666666666,complete,"amusement, disgust, happiness",moderate (0.4-0.7)
1+6+25,3,3,2,2,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.6666666666666666,complete,"happiness, sadness",moderate (0.4-0.7)
28,1,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0,NA,NA,none (<0.2)
17+22+25,3,2,2,2,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
4+5+17+18,4,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.75,complete,anger,strong (>=0.7)
1+2+17+19+25+26,6,2,2,2,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.8,complete,surprise,strong (>=0.7)
1+2+5+21+25+26,6,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.9090909090909091,complete,"fear, surprise",strong (>=0.7)
13+25,2,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.5,complete,"disgust, happiness, sympathy",moderate (0.4-0.7)
7+17+23,3,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+4+5+22,5,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.8888888888888888,complete,fear,strong (>=0.7)
6+10+25+26,4,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.8571428571428571,complete,disgust,strong (>=0.7)
15+23,2,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.5,complete,sadness,moderate (0.4-0.7)
17+24+32,3,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.6666666666666666,partial only,sympathy,moderate (0.4-0.7)
17+26,2,1,1,1,0.238,2.5049957825554206e-5,7.875755626633404e-7,0.8,complete,sadness,strong (>=0.7)
1+2+5+14+17+19+25+26,8,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.7692307692307693,complete,"fear, surprise",strong (>=0.7)
1+2+5+12+22+25+26,7,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.9230769230769231,partial only,awe,strong (>=0.7)
7+23,2,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.8,complete,anger,strong (>=0.7)
1+12+22,3,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.6666666666666666,complete,interest,moderate (0.4-0.7)
1+2+4+5,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,1,complete,fear,strong (>=0.7)
12+22+25+26,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.75,complete,"desire, relief",strong (>=0.7)
1+4+6+8+25+26,6,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.7272727272727273,complete,"fear, sadness",strong (>=0.7)
6+10+12+25+26,5,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
1+15+25+26,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.8888888888888888,complete,sadness,strong (>=0.7)
1+4+6+20+25,5,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.8888888888888888,complete,fear,strong (>=0.7)
13+17+25+26,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.75,complete,sadness,strong (>=0.7)
5+12+18,3,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.5714285714285714,partial only,relief,moderate (0.4-0.7)
1+14+18+25,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.5714285714285714,complete,contempt,moderate (0.4-0.7)
17+18+23,3,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.5714285714285714,complete,anger,moderate (0.4-0.7)
6+20+25+26,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.75,complete,"fear, sadness",strong (>=0.7)
1+15+18+25,4,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.75,complete,sadness,strong (>=0.7)
4+10+17+25+32,5,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
2+10+16+20+25,5,1,1,1,0.237,2.4944705901917422e-5,7.842664216437464e-7,0.75,complete,disgust,strong (>=0.7)
4+25+26+32,4,2,2,2,0.20400000000000001,2.1471392421903605e-5,6.75064767997149e-7,0.6666666666666666,complete,"anger, fear, sadness, sympathy",moderate (0.4-0.7)
5+6+12+25+26,5,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.8,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
17+25+33,3,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
5+9+25+26,4,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.8571428571428571,complete,disgust,strong (>=0.7)
18+24+26,3,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.5714285714285714,partial only,relief,moderate (0.4-0.7)
1+2+7+12+25+26,6,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.8333333333333334,complete,"awe, fear",strong (>=0.7)
5+12+17+25+26+32,6,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.6666666666666666,partial only,awe,moderate (0.4-0.7)
4+17+25+26,4,2,2,2,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.8,complete,sadness,strong (>=0.7)
1+2+17+18+25,5,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.6666666666666666,complete,"fear, surprise",moderate (0.4-0.7)
18+26+35,3,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.5714285714285714,partial only,relief,moderate (0.4-0.7)
1+17+20+25,4,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.75,complete,fear,strong (>=0.7)
36,1,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0,NA,NA,none (<0.2)
4+13+25+26,4,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.6666666666666666,complete,"anger, fear, sadness, sympathy",moderate (0.4-0.7)
1+2+9+25,4,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.75,complete,"fear, surprise",strong (>=0.7)
4+7+17+18+25,5,1,1,1,0.204,2.1471392421903605e-5,6.750647679971489e-7,0.6666666666666666,complete,anger,moderate (0.4-0.7)
17+26+32,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
2+5,2,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.8,complete,"fear, surprise",strong (>=0.7)
1+2+14+17+26+32,6,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.6666666666666666,complete,surprise,moderate (0.4-0.7)
5+22,2,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.5714285714285714,complete,anger,moderate (0.4-0.7)
5+26+32,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.8,complete,surprise,strong (>=0.7)
4+6+18,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
10+12+25,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.8,complete,"disgust, happiness",strong (>=0.7)
4+8+12,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.5,complete,"contentment, happiness, sadness",moderate (0.4-0.7)
5+16,2,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.5,complete,"fear, surprise",moderate (0.4-0.7)
1+4+16+25,4,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.75,complete,"fear, sadness",strong (>=0.7)
4+17+25+26+32,5,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.7272727272727273,complete,sadness,strong (>=0.7)
1+2+5+14+19+25+26,7,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.8333333333333334,complete,"fear, surprise",strong (>=0.7)
15+17+19+25+26,5,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.75,partial only,desire,strong (>=0.7)
1+5+7,3,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.6666666666666666,complete,"anger, fear, surprise",moderate (0.4-0.7)
1+2+12+18+25+26,6,1,1,1,0.203,2.1366140498266824e-5,6.71755626977555e-7,0.8333333333333334,partial only,awe,strong (>=0.7)
18+20+25+26,4,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.75,complete,"fear, relief",strong (>=0.7)
1+4+7,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.8,complete,"anger, confusion",strong (>=0.7)
2+20+24,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.5,complete,fear,moderate (0.4-0.7)
5+15+17+26,4,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.6666666666666666,complete,"sadness, surprise",moderate (0.4-0.7)
2+17+23,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.5714285714285714,complete,anger,moderate (0.4-0.7)
6+7+12+25+26,5,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,1,complete,"amusement, coyness, happiness, triumph",strong (>=0.7)
10+16,2,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.8,complete,disgust,strong (>=0.7)
4+5+17,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.8571428571428571,complete,anger,strong (>=0.7)
1+2+5+10+11,5,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.75,complete,"fear, surprise",strong (>=0.7)
2+5+25,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.8571428571428571,complete,fear,strong (>=0.7)
1+14+25,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.6666666666666666,complete,contempt,moderate (0.4-0.7)
14+17+25,3,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.6666666666666666,complete,"contempt, sadness",moderate (0.4-0.7)
1+4+11+25,4,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,1,complete,sadness,strong (>=0.7)
4+17+22+25,4,1,1,1,0.17,1.7892827018253004e-5,5.625539733309574e-7,0.6666666666666666,complete,"sadness, shame",moderate (0.4-0.7)
17+20+25,3,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.6666666666666666,complete,"fear, sadness",moderate (0.4-0.7)
8+25,2,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.5,complete,"disgust, happiness, sympathy",moderate (0.4-0.7)
4+9+25+26,4,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.8571428571428571,complete,disgust,strong (>=0.7)
4+12+17+25+26+32,6,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.6666666666666666,complete,sadness,moderate (0.4-0.7)
20+25+26+32,4,2,2,2,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.75,complete,fear,strong (>=0.7)
4+5+10+25+26,5,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.9090909090909091,complete,anger,strong (>=0.7)
4+15+17+23,4,2,2,2,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.8571428571428571,complete,sadness,strong (>=0.7)
1+15+17+24,4,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.8571428571428571,complete,"sadness, sympathy",strong (>=0.7)
4+6+20+25+26,5,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.8,complete,"fear, pain",strong (>=0.7)
4+14+23,3,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.6666666666666666,complete,"anger, contempt",moderate (0.4-0.7)
4+5+14+19+25+26,6,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.7272727272727273,complete,anger,strong (>=0.7)
23+26,2,1,1,1,0.169,1.7787575094616223e-5,5.592448323113636e-7,0.6666666666666666,complete,anger,moderate (0.4-0.7)
19,1,2,2,2,0.168,1.768232317097944e-5,5.559356912917697e-7,0.5,partial only,desire,moderate (0.4-0.7)
1+2+5+23,4,2,1,1,0.168,1.768232317097944e-5,5.559356912917697e-7,0.8571428571428571,complete,"fear, surprise",strong (>=0.7)
7+18+25,3,2,2,2,0.14800000000000002,1.5577284698243794e-5,4.897528708998924e-7,0.5714285714285714,complete,"anger, coyness, desire, embarrassment, relief",moderate (0.4-0.7)
1+2+4+6+12+25,6,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.7272727272727273,complete,fear,strong (>=0.7)
5+12+18+25+26,5,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8888888888888888,partial only,relief,strong (>=0.7)
9+10+25+26,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,1,complete,disgust,strong (>=0.7)
4+12+18+25,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.75,partial only,relief,strong (>=0.7)
1+5+23+25,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.75,complete,"anger, fear",strong (>=0.7)
15+24,2,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.5,complete,sadness,moderate (0.4-0.7)
1+2+8+12,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8571428571428571,complete,interest,strong (>=0.7)
2+20+25+26,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8,complete,fear,strong (>=0.7)
1+4+14+18,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.5714285714285714,complete,"contempt, sadness",moderate (0.4-0.7)
1+2+5+18+26,5,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8888888888888888,complete,"fear, surprise",strong (>=0.7)
1+12+17+25,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.6666666666666666,complete,"happiness, sadness",moderate (0.4-0.7)
19+20+25+26,4,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8571428571428571,partial only,desire,strong (>=0.7)
7+14+24,3,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.6666666666666666,complete,anger,moderate (0.4-0.7)
1+2+12+20,4,2,2,2,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8571428571428571,complete,interest,strong (>=0.7)
9+22+25,3,1,1,1,0.136,1.4314261614602405e-5,4.50043178664766e-7,0.8,complete,disgust,strong (>=0.7)
10+17+18+19+25+26,6,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.6666666666666666,complete,"desire, disgust",moderate (0.4-0.7)
1+2+5+17+19+25+26,7,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.8333333333333334,complete,"fear, surprise",strong (>=0.7)
1+2+5+6+17+19+25+26,8,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.7692307692307693,complete,"fear, surprise",strong (>=0.7)
1+2+4+5+12,5,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.8888888888888888,complete,fear,strong (>=0.7)
13+17+19+25+26,5,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.75,partial only,desire,strong (>=0.7)
1+16+25,3,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.6666666666666666,complete,disgust,moderate (0.4-0.7)
1+2+18+20+25,5,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.8,complete,fear,strong (>=0.7)
1+2+4+12+17+25+26,7,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.7692307692307693,complete,"awe, fear, sadness",strong (>=0.7)
17+18+25+26,4,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.75,complete,"relief, sadness",strong (>=0.7)
1+2+4+12+25+26,6,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.8333333333333334,complete,"awe, fear",strong (>=0.7)
12+22+25,3,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.8,complete,happiness,strong (>=0.7)
4+20+23,3,1,1,1,0.135,1.4209009690965621e-5,4.467340376451721e-7,0.6666666666666666,complete,anger,moderate (0.4-0.7)
