occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
1+2+5+19+25+26+33,7,1,3,1.292,4.275410197315276e-6,1.3598548533872283e-4,,NA
1+22+25,3,2,2,1.292,4.275410197315276e-6,1.3598548533872283e-4,,NA
4+7+12,3,2,2,1.292,4.275410197315276e-6,1.3598548533872283e-4,,A
16+20+25,3,2,2,1.2910000000000001,4.272101056295683e-6,1.3588023341508607e-4,,NA
4+23+25,3,2,4,1.258,4.1628994026490845e-6,1.3240691993507224e-4,,NA
25+32,2,3,3,1.2570000000000001,4.159590261629491e-6,1.3230166801143545e-4,,NA
4+12+16+20+25,5,1,1,1.257,4.15959026162949e-6,1.3230166801143543e-4,,NA
4+17+18+23,4,1,1,1.257,4.15959026162949e-6,1.3230166801143543e-4,,NA
5+8+25+26,4,1,3,1.256,4.156281120609897e-6,1.3219641608779866e-4,,NA
5+14,2,3,4,1.256,4.156281120609897e-6,1.3219641608779866e-4,,NA
1+2+12+18+25,5,4,6,1.223,4.0470794669633e-6,1.2872310260778487e-4,,C
1+4+18+25,4,3,4,1.223,4.0470794669633e-6,1.2872310260778487e-4,,A
6+18+25+26+30,5,1,1,1.223,4.0470794669633e-6,1.2872310260778487e-4,,NA
1+2+5+15,4,4,4,1.223,4.0470794669633e-6,1.2872310260778487e-4,,NA
1+2+5+12+17+25+26+32,8,2,2,1.223,4.0470794669633e-6,1.2872310260778487e-4,,NA
4+14+19+25+26,5,2,2,1.222,4.043770325943706e-6,1.2861785068414807e-4,,NA
1+2+6,3,2,2,1.196,3.957732659434265e-6,1.258813006695917e-4,,C
5+8+12+25+26,5,1,1,1.19,3.937877813316702e-6,1.2524978912777101e-4,,NA
6+12+16+25,4,3,3,1.155,3.8220578776309165e-6,1.2156597180048365e-4,,NA
5+18,2,4,4,1.155,3.8220578776309165e-6,1.2156597180048365e-4,,A
1+2+5+17+24,5,3,3,1.154,3.8187487366113225e-6,1.2146071987684686e-4,,NA
6+9+12,3,1,1,1.122,3.7128562239843194e-6,1.1809265832046984e-4,,NA
1+4+17+18,4,1,1,1.122,3.7128562239843194e-6,1.1809265832046984e-4,,A
12+17+19+25+26,5,3,3,1.121,3.709547082964725e-6,1.1798740639683305e-4,,NA
1+2+20+23,4,1,1,1.121,3.709547082964725e-6,1.1798740639683305e-4,,NA
4+6+7+12+25+26,6,1,2,1.121,3.709547082964725e-6,1.1798740639683305e-4,,A
33,1,2,4,1.12,3.7062379419451317e-6,1.1788215447319627e-4,,NA
18+26,2,3,5,1.088,3.600345429318128e-6,1.1451409291681924e-4,,A
6+17+25,3,1,1,1.088,3.600345429318128e-6,1.1451409291681924e-4,,A
1+2+5+14+25+26+32,7,1,1,1.088,3.600345429318128e-6,1.1451409291681924e-4,,NA
4+15+24,3,2,2,1.087,3.5970362882985333e-6,1.1440884099318244e-4,,NA
9+23,2,1,1,1.087,3.5970362882985333e-6,1.1440884099318244e-4,,NA
15+25+26,3,5,5,1.087,3.5970362882985333e-6,1.1440884099318244e-4,,NA
1+4+5+25,4,1,2,1.087,3.5970362882985333e-6,1.1440884099318244e-4,,A
5+12+20+25+26,5,2,2,1.086,3.59372714727894e-6,1.1430358906954567e-4,,B
1+15+17,3,5,5,1.085,3.5904180062593457e-6,1.1419833714590888e-4,matsumoto2008_sadness_3,NA
1+4+6,3,3,3,1.054,3.4878346346519362e-06,1.1093552751316863e-4,,A
12+16+25+26,4,1,1,1.054,3.4878346346519362e-06,1.1093552751316863e-4,,NA
2+4,2,2,2,1.054,3.4878346346519362e-06,1.1093552751316863e-4,,A
1+2+6+13,4,1,1,1.054,3.4878346346519362e-06,1.1093552751316863e-4,,NA
1+2+5+12+15+26,6,1,1,1.054,3.4878346346519362e-06,1.1093552751316863e-4,,NA
1+2+15+25+26,5,2,3,1.053,3.4845254936323417e-6,1.1083027558953183e-4,,NA
1+2+5+20+25,5,4,4,1.052,3.4812163526127485e-6,1.1072502366589507e-4,,C
1+2+7+10,4,1,1,1.02,3.3753238399857446e-6,1.0735696210951802e-4,,C
1+2+22+25,4,2,3,1.02,3.3753238399857446e-6,1.0735696210951802e-4,,NA
1+4+10,3,1,1,1.019,3.37201469896615e-6,1.0725171018588123e-4,,A
2+12+25+26,4,2,2,1.018,3.368705557946557e-6,1.0714645826224446e-4,,C
1+4+17+24,4,2,2,0.986,3.262813045319553e-6,1.0377839670586742e-4,,NA
1+2+7+25+26,5,2,3,0.986,3.262813045319553e-6,1.0377839670586742e-4,,C
5+17+23,3,2,2,0.9850000000000001,3.2595039042999594e-6,1.0367314478223065e-4,,NA
1+4+20+25+26,5,2,2,0.985,3.259503904299959e-6,1.0367314478223063e-4,du2014_fear_4,A
10+12,2,2,2,0.985,3.259503904299959e-6,1.0367314478223063e-4,,B
4+6+20,3,3,3,0.984,3.2561947632803654e-6,1.0356789285859386e-4,,A
15+17+23,3,2,2,0.952,3.1503022506533615e-6,1.0019983130221682e-4,,NA
4+12+17+25,4,2,3,0.952,3.1503022506533615e-6,1.0019983130221682e-4,,A
10+20+25,3,2,2,0.952,3.1503022506533615e-6,1.0019983130221682e-4,,A
1+2+25+26+36,5,1,1,0.952,3.1503022506533615e-6,1.0019983130221682e-4,,NA
1+4+6+12,4,1,3,0.9510000000000001,3.146993109633768e-6,1.0009457937858005e-4,,A
4+17+32,3,1,1,0.951,3.1469931096337674e-6,1.0009457937858003e-4,,NA
1+2+4+17+20+25,6,1,1,0.951,3.1469931096337674e-6,1.0009457937858003e-4,,C
4+5+25+26,4,3,3,0.951,3.1469931096337674e-6,1.0009457937858003e-4,,A
1+4+5+6+20+25,6,1,1,0.951,3.1469931096337674e-6,1.0009457937858003e-4,,A
12+25+26+36,4,1,1,0.951,3.1469931096337674e-6,1.0009457937858003e-4,,NA
1+2+10+25+26,5,3,3,0.95,3.1436839686141738e-6,9.998932745494325e-5,,C
1+2+12+20+25+26,6,2,2,0.95,3.1436839686141738e-6,9.998932745494325e-5,,C
4+7+20+25,4,2,2,0.918,3.0377914559871703e-6,9.662126589856622e-5,,A
1+2+5+24+30,5,1,1,0.918,3.0377914559871703e-6,9.662126589856622e-5,,NA
6+10+16+25,4,2,2,0.9179999999999999,3.03779145598717e-6,9.662126589856621e-5,,NA
2+8+25+26,4,2,2,0.917,3.0344823149675762e-6,9.651601397492944e-5,,NA
1+2+5+8+12+25+26,7,2,4,0.917,3.0344823149675762e-6,9.651601397492944e-5,,NA
5+17+33,3,2,2,0.917,3.0344823149675762e-6,9.651601397492944e-5,,NA
1+2+5+12+20+25,6,1,1,0.917,3.0344823149675762e-6,9.651601397492944e-5,,C
1+2+10+20+25+26,6,1,1,0.917,3.0344823149675762e-6,9.651601397492944e-5,,C
1+4+15+22+25,5,1,1,0.917,3.0344823149675762e-6,9.651601397492944e-5,,NA
1+2+4+18+25,5,2,3,0.916,3.0311731739479826e-6,9.641076205129265e-5,,C
4+12+18,3,3,3,0.915,3.0278640329283886e-6,9.630551012765588e-5,,A
4+17+19+25+26,5,3,7,0.914,3.0245548919087945e-6,9.62002582040191e-5,,NA
14+25+32,3,1,1,0.884,2.9252806613209787e-6,9.304270049491562e-5,,NA
4+6+17+24,4,2,2,0.883,2.9219715203013847e-6,9.293744857127884e-5,,NA
4+5+17+19+25+26,6,2,2,0.883,2.9219715203013847e-6,9.293744857127884e-5,,NA
5+15+17,3,2,2,0.883,2.9219715203013847e-6,9.293744857127884e-5,,NA
1+4+15+25+26,5,3,3,0.882,2.918662379281791e-6,9.283219664764205e-5,"fig2002_sadness_12
fig2002_sadness_16",NA
1+5,2,2,5,0.881,2.915353238262197e-6,9.272694472400528e-5,,A
7+24,2,2,3,0.87,2.878952687046664e-6,9.156917356400067e-5,,NA
1+2+5+12+16+25+26,7,2,2,0.8500000000000001,2.8127698666547875e-6,8.946413509126503e-5,,NA
8,1,2,2,0.85,2.812769866654787e-6,8.946413509126502e-5,,NA
17+18+19,3,1,1,0.85,2.812769866654787e-6,8.946413509126502e-5,,NA
4+13,2,3,3,0.85,2.812769866654787e-6,8.946413509126502e-5,,NA
1+7,2,1,1,0.85,2.812769866654787e-6,8.946413509126502e-5,,A
4+6+12+20+25,5,1,1,0.85,2.812769866654787e-6,8.946413509126502e-5,,A
7+12+20+25+26,5,1,1,0.85,2.812769866654787e-6,8.946413509126502e-5,,A
7+25+26,3,3,3,0.849,2.809460725635193e-6,8.935888316762823e-5,,A
4+7+13+17,4,1,1,0.849,2.809460725635193e-6,8.935888316762823e-5,,NA
1+10,2,1,1,0.849,2.809460725635193e-6,8.935888316762823e-5,,A
1+2+13,3,2,3,0.8480000000000001,2.8061515846155995e-6,8.925363124399147e-5,,NA
17+25+26,3,3,3,0.848,2.8061515846155995e-6,8.925363124399145e-5,,A
7+10+25,3,2,2,0.8160000000000001,2.700259071988596e-6,8.588556968761442e-5,,A
17+34,2,3,3,0.8160000000000001,2.700259071988596e-6,8.588556968761442e-5,,NA
12+23,2,3,4,0.816,2.7002590719885955e-6,8.588556968761442e-5,,NA
6+12+25+26+30,5,1,1,0.816,2.7002590719885955e-6,8.588556968761442e-5,,NA
1+2+11+14,4,1,1,0.816,2.7002590719885955e-6,8.588556968761442e-5,,NA
1+4+6+20,4,1,1,0.815,2.6969499309690015e-6,8.578031776397763e-5,,A
7+12+25+26,4,4,4,0.815,2.6969499309690015e-6,8.578031776397763e-5,cordaro2018_desire_1,B
1+12+19+25+26,5,2,3,0.8140000000000001,2.693640789949408e-6,8.567506584034087e-5,,NA
1+2+12+17+25+26,6,3,3,0.8140000000000001,2.693640789949408e-6,8.567506584034087e-5,,C
